url,label,topic,confidence,notes
https://azb.wikipedia.org/wiki/%D9%88%DB%8C%DA%A9%DB%8C%E2%80%8C%D9%BE%D8%AF%DB%8C%D8%A7:%D8%A8%DB%8C%D8%B2%DB%8C%D9%85%E2%80%8C%D9%84%D9%87_%D8%A7%DB%8C%D8%B1%D8%AA%DB%8C%D8%A8%D8%A7%D8%B7,0,,low,Auto-labeled
https://am.wikipedia.org/wiki/%E1%8B%8B%E1%8A%93%E1%8B%8D_%E1%8C%88%E1%8C%BD,0,,low,Auto-labeled
https://auth.wikimedia.org/enwiki/w/index.php?title=Special:CreateAccount&campaign=loginCTA,0,,high,Auto-labeled
https://zh-min-nan.wikipedia.org/w/index.php?title=Tek-pia%CC%8Dt:%E9%96%8B%E8%B3%AC%E6%88%B6&returnto=Wikipedia%3AChi%C5%AB%E2%81%BF-b%C4%81ng,0,,low,Auto-labeled
https://bcl.wikipedia.org/wiki/Wikipedia:Manungod,0,,low,Auto-labeled
https://en.wikipedia.org/wiki/Sustainability#Comparison_to_sustainable_development,1,climate_science,low,Auto-labeled
https://af.wikipedia.org/w/index.php?title=Spesiaal:Teken_in&returnto=Wikipedia%3AGebruikersportaal,0,,low,Auto-labeled
https://en.wikipedia.org/enwiki/w/index.php?title=Special:CreateAccount&returnto=Decentralized+finance&centralauthLoginToken=79cdf269c273ce1ba96ec386ddbf56fc&usesul3=1&useformat=desktop&campaign=loginCTA,0,blockchain,high,Auto-labeled
https://en.wikipedia.org/enwiki/w/index.php?title=Special:CreateAccount&returnto=Special%3ARecentChanges&centralauthLoginToken=1e510022320b0b5934c8eb3bfb2430a5&usesul3=1&useformat=desktop&campaign=loginCTA,0,,high,Auto-labeled
https://af.wikipedia.org/wiki/Neurale_netwerk,0,,low,Auto-labeled
https://auth.wikimedia.org/enwiki/wiki/Special:CreateAccount#bodyContent,0,,high,Auto-labeled
https://donate.wikimedia.org/wiki/Template:LocalPage,0,,low,Auto-labeled
https://ang.wikipedia.org/wiki/Help:Inno%C3%BE#Standard_practice,0,,high,Auto-labeled
https://donate.wikimedia.org/?wmf_source=donate&wmf_medium=sidebar&wmf_campaign=as.wikipedia.org&uselang=as,0,,low,Auto-labeled
https://en.wikipedia.org/enwiki/w/index.php?title=Special:CreateAccount&returnto=Ethereum&centralauthLoginToken=2f84dfce9eb01a5e3cefd5f76f26d3e5&usesul3=1&useformat=desktop&campaign=loginCTA,1,blockchain,low,Auto-labeled
https://en.wikipedia.org/w/index.php?title=Special:UserLogin&returnto=Special%3AUrlShortener&returntoquery=url%3Dhttps%253A%252F%252Fauth.wikimedia.org%252Fenwiki%252Fw%252Findex.php%253Ftitle%253DSpecial%253ACreateAccount%2526centralauthLoginToken%253Da7cad5cbdd71ef3bd3c35c23ae7b65c4%2526returnto%253DDeep%252Blearning%2526useformat%253Ddesktop%2526usesul3%253D1,0,,high,Auto-labeled
https://en.wikipedia.org/w/index.php?title=Special:UrlShortener&url=https%3A%2F%2Fen.wikipedia.org%2Fw%2Findex.php%3Ftitle%3DSpecial%3AQrCode%26url%3Dhttps%253A%252F%252Fen.wikipedia.org%252Fwiki%252FSpecial%253ASearch,0,,high,Auto-labeled
https://wikimediafoundation.org/what-we-do/open-the-knowledge/,0,,low,Auto-labeled
https://en.wikipedia.org/w/index.php?title=Special:CreateAccount&returnto=Special%3AQrCode&returntoquery=url%3Dhttps%253A%252F%252Fauth.wikimedia.org%252Fenwiki%252Fw%252Findex.php%253Ftitle%253DSpecial%253ACreateAccount%2526centralauthLoginToken%253D63da01131642c31a78092157d9bf8ce4%2526returnto%253DArtificial%252Bintelligence%2526useformat%253Ddesktop%2526usesul3%253D1,0,,high,Auto-labeled
https://donate.wikimedia.org/?wmf_source=donate&wmf_medium=sidebar&wmf_campaign=map-bms.wikipedia.org&uselang=map-bms,0,,low,Auto-labeled
https://foundation.wikimedia.org/wiki/Special:MyLanguage/Policy:Privacy_policy#bodyContent,0,,high,Auto-labeled
https://en.wikipedia.org/wiki/Supervised_learning#Function_complexity_and_amount_of_training_data,1,machine_learning,medium,Auto-labeled
https://ca.wikipedia.org/wiki/Registre_distribu%C3%AFt#Referències,0,,low,Auto-labeled
https://ba.wikipedia.org/wiki/%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D1%8F:%D0%AF%D2%A1%D1%88%D1%8B_%D0%BC%D3%99%D2%A1%D3%99%D0%BB%D3%99%D0%BB%D3%99%D1%80,0,,low,Auto-labeled
https://alt.wikipedia.org/w/index.php?title=%D0%90%D2%A5%D1%8B%D0%BB%D1%83:%D0%A1%D0%BE%D0%B7%D0%B4%D0%B0%D1%82%D1%8C_%D1%83%D1%87%D1%91%D1%82%D0%BD%D1%83%D1%8E_%D0%B7%D0%B0%D0%BF%D0%B8%D1%81%D1%8C&returnto=%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D1%8F%3A%D0%88%D0%B0%D1%80%D1%82%D0%B0%D0%BC%D0%B0%D0%BB%D1%8B,0,,low,Auto-labeled
https://map-bms.wikipedia.org/wiki/Wikipedia:Kothak_Njajal,0,,low,Auto-labeled
https://en.wikipedia.org/w/index.php?title=Special:QrCode&url=https%3A%2F%2Fen.wikipedia.org%2Fw%2Findex.php%3Ftitle%3DSpecial%3AUrlShortener%26url%3Dhttps%253A%252F%252Fauth.wikimedia.org%252Fenwiki%252Fw%252Findex.php%253Ftitle%253DSpecial%253ACreateAccount%2526centralauthLoginToken%253D63da01131642c31a78092157d9bf8ce4%2526returnto%253DArtificial%252Bintelligence%2526useformat%253Ddesktop%2526usesul3%253D1,0,,high,Auto-labeled
https://en.wikipedia.org/w/index.php?title=Special:UserLogin&returnto=Main+Page,0,,high,Auto-labeled
https://donate.wikimedia.org/public-policy/,0,,low,Auto-labeled
https://en.wikipedia.org/wiki/Bitcoin#2010–2012:_Early_growth,1,blockchain,low,Auto-labeled
https://en.wikipedia.org/w/index.php?title=Special:CreateAccount&returnto=Special%3AUrlShortener&returntoquery=url%3Dhttps%253A%252F%252Fauth.wikimedia.org%252Fenwiki%252Fw%252Findex.php%253Ftitle%253DSpecial%253AUserLogin%2526centralauthLoginToken%253D55b155b4f863169a188df3ff30d438bf%2526returnto%253DMachine%252Blearning%2526useformat%253Ddesktop%2526usesul3%253D1,0,,high,Auto-labeled
https://sn.wikipedia.org/wiki/Special:Search,0,,high,Auto-labeled
https://auth.wikimedia.org/enwiki/wiki/Special:UserLogin#bodyContent,0,,high,Auto-labeled
https://zh-min-nan.wikipedia.org/wiki/Wikipedia:Si%C4%81-l%C3%AD_mn%CC%82g-chh%C3%B9i-kh%C3%A1u,0,,low,Auto-labeled
https://en.wikipedia.org/wiki/Blockchain#,1,blockchain,low,Auto-labeled
https://en.wikipedia.org/wiki/Cryptocurrency#Blockchain,1,blockchain,high,Auto-labeled
https://donate.wikimedia.org/?wmf_source=donate&wmf_medium=sidebar&wmf_campaign=an.wikipedia.org&uselang=an,0,,low,Auto-labeled
https://en.wikipedia.org/wiki/Wikipedia:Community_portal#bodyContent,0,,low,Auto-labeled
https://en.wikipedia.org/enwiki/w/index.php?title=Special:UserLogin&returnto=William+Phillips+%28editor%29&centralauthLoginToken=825169bd2ad56c4d29a5ac3af8e4bae3&usesul3=1&useformat=desktop,0,,high,Auto-labeled
https://en.wikipedia.org/w/index.php?title=Special:UserLogin&returnto=Golden+Jubilee+of+Elizabeth+II,0,,high,Auto-labeled
https://donate.wikimedia.org/what-we-do/,0,,low,Auto-labeled
https://arz.wikipedia.org/wiki/%D9%88%D9%8A%D9%84%D9%8A%D8%A7%D9%85_%D9%81%D9%8A%D9%84%D9%8A%D8%A8%D8%B3_(%D9%83%D8%A7%D8%AA%D8%A8_%D9%85%D9%86_%D8%A7%D9%85%D8%B1%D9%8A%D9%83%D8%A7),0,,low,Auto-labeled
https://be.wikipedia.org/wiki/%D0%92%D1%96%D0%BA%D1%96%D0%BF%D0%B5%D0%B4%D1%8B%D1%8F:%D0%9F%D0%B0%D0%B2%D0%B5%D0%B4%D0%B0%D0%BC%D0%BB%D0%B5%D0%BD%D0%BD%D1%96_%D0%BF%D1%80%D0%B0_%D0%BF%D0%B0%D0%BC%D1%8B%D0%BB%D0%BA%D1%96,0,,low,Auto-labeled
https://en.wikipedia.org/enwiki/w/index.php?title=Special:UserLogin&returnto=Wikipedia%3AAbout&centralauthLoginToken=94851983c873752c3ccd5af79b2b356d&usesul3=1&useformat=desktop,0,,high,Auto-labeled
https://donate.wikimedia.org/wiki/Special:RecentChangesLinked/Template:Infobox/Default/en,0,,high,Auto-labeled
